from_section,to_section,latitude,longitude,label
Quebec,Quebec,51.415731,-57.152123,Sainte-Barbe terminal [ferry]
Ontario,Québec,45.4596059,-75.6997105,Boulevard Gréber [secondary]
Ontario,Québec,45.4410753,-75.7218996,5 [motorway]
Ontario,Québec,45.4403457,-75.7240387,Rue Saint-Rédempteur [secondary]
Ontario,Québec,45.4603367,-75.6999452,Boulevard Gréber [secondary]
Ontario,Québec,45.4203962,-75.7416380,unnamed [service]
Ontario,Québec,45.4180696,-75.7439901,Rue Bourget [residential]
Ontario,Québec,45.4620284,-75.6954532,Rue de la Baie [residential]
Ontario,Québec,45.8853445,-76.9174238,Gervais Road [unclassified]
Ontario,Québec,45.8101641,-76.7830401,CR 50 [secondary]
Ontario,Québec,45.8592221,-76.7871941,Coulonge Lake Trail [unclassified]
Ontario,Québec,45.7985036,-76.7790650,CR 49 [secondary]
Ontario,Québec,45.8353505,-76.7822934,Bromley Line [residential]
Ontario,Québec,45.8612903,-76.7856163,Orvilles Trail [unclassified]
Ontario,Québec,45.8398366,-76.7800015,Lacroix Bay Road [residential]
Ontario,Québec,45.8458930,-76.7799561,Lacroix Bay Road [residential]
Ontario,Québec,45.4562245,-75.7053498,Promenade du Lac-Leamy [service]
Alberta,Saskatchewan,53.2807246,-109.9997034,47 Street [residential]
Alberta,Saskatchewan,53.2724990,-109.9993538,38 Street [residential]
Alberta,Saskatchewan,53.2715885,-109.9997401,37 Street [residential]
Alberta,Saskatchewan,53.2734002,-109.9997329,39 Street [residential]
Alberta,Saskatchewan,53.2789107,-109.9981967,45 Street [residential]
Ontario,Québec,45.4298839,-75.7340864,Rue De Lorimier [residential]
Alberta,Saskatchewan,53.3657397,-110.0025091,Township Road 510 [unclassified]
Alberta,Saskatchewan,53.3952701,-110.0023654,Township Road 512 [unclassified]
Alberta,Saskatchewan,53.0742333,-110.0010674,Township 474 Road [unclassified]
Ontario,Québec,45.4783187,-75.6258923,Rue de Versailles [residential]
Ontario,Québec,45.4789562,-75.6064292,unnamed [service]
Ontario,Québec,45.4813339,-75.6042162,unnamed [service]
Ontario,Québec,45.4799196,-75.6093902,Rue Campeau [residential]
Alberta,Saskatchewan,49.6716740,-110.0013098,unnamed [unclassified]
Alberta,British Columbia,55.8979488,-119.9966295,Road 218 [residential]
Prince Edward Island,Prince Edward Island,46.349333,-62.251175,Souris ferry terminal [ferry]
Quebec,Quebec,47.381240,-61.855047,Cap-aux-Meules ferry terminal [ferry]
British Columbia,Yukon,59.9941313,-133.7942483,Atlin Highway [primary]
Alberta,British Columbia,52.8879682,-118.4788279,YH 16 [trunk]
Manitoba,Ontario,49.7387412,-95.1576564,PTH 1 [trunk]
Ontario,Québec,45.8168074,-77.0741811,unnamed [residential]
Ontario,Québec,45.8274641,-77.1072412,William Street [residential]
Ontario,Québec,45.8061597,-77.0434551,148 [primary]
Ontario,Québec,45.8249336,-77.1021439,Catherine Street [residential]
Ontario,Québec,45.8276262,-77.1055072,Peter Street [residential]
Ontario,Québec,45.8251619,-77.0979554,Esther Street [residential]
Ontario,Québec,45.8229159,-77.0938605,Rosewood Avenue [residential]
Ontario,Québec,45.8261438,-77.1081701,Maple Avenue [residential]
Ontario,Québec,45.8165422,-77.0731696,Burns Drive [residential]
Ontario,Québec,45.7959745,-77.0218367,Forest Park Road [residential]
Ontario,Québec,45.8211964,-77.0883710,Apple Blossom Drive [residential]
Ontario,Québec,45.8236101,-77.0950398,Clemow Avenue [residential]
Ontario,Québec,45.8254808,-77.1034978,Cecelia Street [residential]
Ontario,Québec,45.8217581,-77.0863250,Angus Campbell Drive [residential]
Ontario,Québec,45.8233809,-77.0977242,Herbert Street [residential]
Ontario,Québec,45.8288370,-77.1074173,Nelson Street [residential]
Ontario,Québec,45.8234455,-77.1002144,Fraser Street [residential]
Ontario,Québec,45.8242634,-77.0964387,Alfred Street [residential]
Ontario,Québec,45.8267615,-77.1030326,Supple Street [residential]
Ontario,Québec,45.8292160,-77.1108067,Joseph Street [residential]
Ontario,Québec,45.8295606,-77.1115058,unnamed [service]
Ontario,Québec,46.7176613,-79.1038498,Promenade du Lac [residential]
Ontario,Québec,46.6619966,-79.0497988,R0852 [tertiary]
Ontario,Québec,46.6708869,-79.0662063,R0852 [tertiary]
Ontario,Québec,46.8557742,-79.2049522,101 [primary]
Ontario,Québec,46.8856655,-79.2459141,101 [primary]
Ontario,Québec,46.7689583,-79.1309336,Chemin du Boom-Camp [unclassified]
Ontario,Québec,47.6907732,-79.5124174,Chemin du Petit-Nédélec Nord [unclassified]
Ontario,Québec,47.6660598,-79.5142398,Chemin de Belle-Vallée [residential]
Ontario,Québec,46.7183488,-79.1043609,Rue de la Marina [residential]
Ontario,Québec,46.8513129,-79.1952299,Chemin Cedar Pine [tertiary]
Ontario,Québec,46.2651003,-78.2976802,unnamed [service]
Alberta,British Columbia,51.2338510,-116.0468202,93 [primary]
Ontario,Québec,45.5268508,-76.4613042,Chemin de Bristol [residential]
Ontario,Québec,45.5202262,-76.4274802,Chemin Wharf [residential]
Ontario,Québec,45.5191370,-76.4264729,Rue Grantham [residential]
Manitoba,Saskatchewan,51.5609406,-101.6053387,Ski Hill Road [unclassified]
Manitoba,Saskatchewan,51.6803987,-101.6132365,unnamed [track]
Manitoba,Saskatchewan,51.6519888,-101.6117841,unnamed [unclassified]
Manitoba,Saskatchewan,51.6486816,-101.6123272,unnamed [unclassified]
Manitoba,Saskatchewan,51.6363041,-101.6101600,57 [primary]
Manitoba,Saskatchewan,51.8517812,-101.6283184,unnamed [unclassified]
Manitoba,Saskatchewan,51.7935763,-101.6284047,unnamed [unclassified]
Manitoba,Saskatchewan,51.8226812,-101.6288391,unnamed [unclassified]
Manitoba,Saskatchewan,51.7768526,-101.6235668,unnamed [track]
Manitoba,Saskatchewan,51.9465146,-101.6361656,unnamed [unclassified]
Manitoba,Saskatchewan,51.8809001,-101.6311347,49 [primary]
Manitoba,Saskatchewan,51.9685845,-101.6451621,unnamed [unclassified]
Manitoba,Saskatchewan,51.9245616,-101.6377030,unnamed [unclassified]
Manitoba,Saskatchewan,51.9085208,-101.6361542,unnamed [track]
Manitoba,Saskatchewan,51.9979517,-101.6451905,unnamed [unclassified]
Alberta,Saskatchewan,52.5618089,-109.9999697,17 [primary]
Manitoba,Saskatchewan,51.1183778,-101.5625531,unnamed [track]
Manitoba,Saskatchewan,51.0808392,-101.5621433,381 [secondary]
Manitoba,Saskatchewan,51.0650012,-101.5571572,unnamed [track]
Manitoba,Saskatchewan,51.0218765,-101.5551552,unnamed [unclassified]
Manitoba,Saskatchewan,51.0366553,-101.5558845,unnamed [track]
Manitoba,Saskatchewan,51.1104234,-101.5586193,unnamed [track]
Manitoba,Saskatchewan,51.0071851,-101.5507738,unnamed [unclassified]
Manitoba,Saskatchewan,51.2282635,-101.5719690,10 [primary]
Manitoba,Saskatchewan,51.1397930,-101.5664248,unnamed [unclassified]
Manitoba,Saskatchewan,51.1841028,-101.5664986,unnamed [unclassified]
Manitoba,Saskatchewan,51.2429754,-101.5741212,unnamed [unclassified]
Manitoba,Saskatchewan,51.1693725,-101.5664041,unnamed [unclassified]
Manitoba,Saskatchewan,51.2134388,-101.5710573,unnamed [unclassified]
Manitoba,Saskatchewan,51.1988388,-101.5664697,unnamed [unclassified]
Manitoba,Saskatchewan,51.3607704,-101.5835281,unnamed [unclassified]
Manitoba,Saskatchewan,51.4197080,-101.5915827,unnamed [unclassified]
Manitoba,Saskatchewan,51.3460704,-101.5823761,unnamed [unclassified]
Manitoba,Saskatchewan,51.4040864,-101.5891743,unnamed [track]
Manitoba,Saskatchewan,51.2652174,-101.5776294,unnamed [unclassified]
Manitoba,Saskatchewan,51.4727468,-101.5944930,unnamed [track]
Manitoba,Saskatchewan,51.4344263,-101.5902193,unnamed [track]
Manitoba,Saskatchewan,51.3313345,-101.5823631,unnamed [track]
Manitoba,Saskatchewan,51.4528899,-101.5941294,unnamed [unclassified]
Manitoba,Saskatchewan,51.4639473,-101.5980635,unnamed [unclassified]
Manitoba,Saskatchewan,51.4059315,-101.5903346,5 [primary]
Ontario,Québec,45.5171884,-76.2289702,Chemin Ferry [tertiary]
Ontario,Québec,45.5026276,-76.2445709,Chemin Boom [unclassified]
Ontario,Québec,45.5166821,-76.0548276,Avenue des Peupliers [residential]
Ontario,Québec,45.5173695,-76.0546563,Chemin des Pins [residential]
Ontario,Québec,45.5176766,-76.0529171,Chemin de la Baie [unclassified]
Ontario,Québec,45.5134363,-76.0438567,Chemin Julie [unclassified]
Ontario,Québec,45.5058811,-76.0325962,Chemin de la Pointe-aux-Roches [residential]
Manitoba,Saskatchewan,50.8009534,-101.5345138,unnamed [unclassified]
Manitoba,Saskatchewan,50.0635549,-101.4635773,1 [trunk]
Manitoba,Saskatchewan,50.0194252,-101.4572045,unnamed [unclassified]
Manitoba,Saskatchewan,50.1079768,-101.4702544,unnamed [service]
Manitoba,Saskatchewan,50.0784616,-101.4636841,unnamed [unclassified]
Ontario,Québec,45.5298790,-76.1486288,Chemin Stanley [unclassified]
Ontario,Québec,45.5397715,-76.4978210,Chemin Zion [unclassified]
Ontario,Québec,45.5307643,-76.4751456,Chemin Front [tertiary]
Ontario,Québec,45.5231498,-76.1873443,unnamed [unclassified]
Ontario,Québec,45.5227793,-76.1967679,Chemin Russell [unclassified]
Nova Scotia,Nova Scotia,44.661195,-65.757665,Digby Ferry Terminal [ferry]
New Brunswick,New Brunswick,45.254742,-66.063124,St John Ferry terminal [ferry]
Manitoba,Saskatchewan,50.1374006,-101.4701896,unnamed [tertiary]
Manitoba,Saskatchewan,50.2111040,-101.4753765,unnamed [unclassified]
Manitoba,Saskatchewan,50.2405342,-101.4802913,703 [tertiary]
Manitoba,Saskatchewan,50.1521047,-101.4718726,unnamed [track]
Manitoba,Saskatchewan,53.7355653,-101.8080270,9 [primary]
Ontario,Québec,45.3888394,-75.8279211,Rue Eastern [residential]
Ontario,Québec,45.3908302,-75.8212784,Chemin Foley [residential]
Ontario,Québec,45.3894090,-75.8222214,Chemin Cochrane [residential]
Manitoba,Saskatchewan,49.1626570,-101.3787143,Township Road 25 [track]
Manitoba,Saskatchewan,49.1478501,-101.3781250,Township Road 24 [unclassified]
Manitoba,Saskatchewan,49.1778093,-101.3830950,18 [primary]
Manitoba,Saskatchewan,54.7123348,-101.8993096,unnamed [unclassified]
Manitoba,Saskatchewan,54.6581559,-101.8932915,unnamed [tertiary]
Manitoba,Saskatchewan,54.7553822,-101.9024042,unnamed [residential]
Manitoba,Saskatchewan,54.7587874,-101.9021169,unnamed [service]
Manitoba,Saskatchewan,54.7524502,-101.9019426,167 [primary]
Manitoba,Saskatchewan,54.7559171,-101.9022387,unnamed [service]
Manitoba,Saskatchewan,54.7577963,-101.9022340,1 Street West [residential]
Manitoba,Saskatchewan,54.7613676,-101.9042912,106 [primary]
Ontario,Québec,45.4807360,-76.2684877,Chemin du Canal [unclassified]
Ontario,Québec,45.4918837,-76.2552830,Chemin de la Pointe-Indienne [residential]
Manitoba,Saskatchewan,54.7550387,-101.9010306,Elander Avenue [residential]
Alberta,British Columbia,50.5820145,-115.0675990,Elk Pass Hydroline Trail [track]
Ontario,Québec,45.5956297,-74.4642666,344 [secondary]
Manitoba,Ontario,49.7968803,-95.1582678,PR 312 [secondary]
Ontario,Québec,45.4377422,-75.7266311,50;148 [motorway]
Ontario,Québec,45.4293595,-75.7333669,Boulevard Saint-Joseph [secondary]
Ontario,Québec,45.4281200,-75.7356997,Rue Scott [residential]
Ontario,Québec,45.4313797,-75.7322455,Rue Lois [residential]
New Brunswick,Québec,47.7713512,-68.3798694,unnamed [unclassified]
New Brunswick,Québec,47.9955567,-67.8491203,unnamed [unclassified]
New Brunswick,Québec,47.9966049,-67.9592382,unnamed [unclassified]
New Brunswick,Québec,47.9151634,-66.9388690,Chemin Restigouche River Road [tertiary]
New Brunswick,Québec,47.9519116,-66.9482481,Chemin Restigouche River Road [tertiary]
New Brunswick,Québec,47.9752347,-66.9275670,Chemin Restigouche River Road [tertiary]
New Brunswick,Québec,47.9790109,-66.9226808,Chemin Restigouche River Road [tertiary]
Ontario,Québec,45.5217188,-76.4318045,Chemin River [tertiary]
Ontario,Québec,45.4054677,-75.7550402,Champlain Bridge [primary]
Ontario,Québec,45.4703160,-75.6759804,Rue Jacques-Cartier [tertiary]
Ontario,Québec,45.5894299,-76.6519702,303 [secondary]
Nova Scotia,Nova Scotia,46.210727,-60.243799,North Sydney Terminal Ferry [ferry]
Newfoundland,Newfoundland,47.579606,-59.141505,Port aux Basques Ferry Terminal [ferry]
Ontario,Québec,45.2587749,-74.3994357,Chemin de la Rivière-Beaudette [tertiary]
Ontario,Québec,45.2342486,-74.3666260,Chemin de la Rivière-Beaudette [tertiary]
Ontario,Québec,48.5258748,-79.5235351,101 [primary]
Ontario,Québec,45.6431004,-74.6864510,148 [primary]
Ontario,Québec,45.3933097,-75.7918225,Boulevard de Lucerne [secondary]
New Brunswick,Québec,47.9263320,-67.0800064,Chemin de la Rivière [unclassified]
New Brunswick,Québec,47.4620449,-68.5108434,Chemin Rang 2 [unclassified]
New Brunswick,Québec,47.6148804,-68.3772979,unnamed [unclassified]
New Brunswick,Québec,47.6526758,-68.3767358,unnamed [unclassified]
New Brunswick,Québec,47.6390231,-68.3793522,unnamed [unclassified]
New Brunswick,Nova Scotia,45.8534449,-64.2594994,Cumberland Loop [unclassified]
New Brunswick,Nova Scotia,45.8523472,-64.2599235,unnamed [service]
New Brunswick,Nova Scotia,45.8753636,-64.2477697,Mount Whatley Road [residential]
New Brunswick,Nova Scotia,45.8546347,-64.2589450,NS 104;TCH [motorway]
New Brunswick,Nova Scotia,45.9785984,-64.0516226,NB 970 [secondary]
Nova Scotia,Nova Scotia,46.210635,-60.243716,North Sydney [ferry]
Newfoundland,Newfoundland,47.290009,-53.992354,Argentia Ferry [ferry]
British Columbia,Yukon,59.9991618,-130.3092136,unnamed [residential]
British Columbia,Yukon,59.9945722,-132.1178169,YK 1 [trunk]
Ontario,Québec,45.4217421,-75.7401432,unnamed [service]
Ontario,Québec,45.4212155,-75.7408712,unnamed [service]
Ontario,Québec,45.5972525,-74.4954184,344 [secondary]
Alberta,Saskatchewan,53.0444556,-109.9998218,688 [tertiary]
Alberta,Saskatchewan,53.0160781,-109.9989135,Township 470 Road [unclassified]
Alberta,Saskatchewan,53.1033333,-110.0017999,770 [tertiary]
Alberta,Saskatchewan,53.1178299,-110.0010967,Township 480a Road [unclassified]
Alberta,Saskatchewan,53.1615652,-110.0004778,Township 484 Road [unclassified]
Alberta,Saskatchewan,53.1906870,-110.0009811,Township Road 490 [unclassified]
Alberta,Saskatchewan,53.2197984,-110.0010997,Township 492 Road [unclassified]
Alberta,Saskatchewan,53.2698486,-109.9999056,Barr Crescent [residential]
Alberta,Saskatchewan,53.2690096,-109.9999143,Barr Crescent [residential]
Alberta,Saskatchewan,53.2574957,-109.9990526,23 Street [residential]
Alberta,Saskatchewan,53.2589226,-110.0002120,24 Street [residential]
Alberta,Saskatchewan,53.2596535,-110.0004770,25 Street [secondary]
Alberta,Saskatchewan,53.2607373,-109.9999893,26 Street [residential]
Alberta,Saskatchewan,53.2617400,-109.9999991,27 Street [residential]
Alberta,Saskatchewan,53.2639800,-109.9990580,29 Street [residential]
Alberta,Saskatchewan,53.2648167,-110.0000558,30 Street [residential]
Alberta,Saskatchewan,53.2656512,-110.0000464,31 Street [residential]
Alberta,Saskatchewan,53.2676386,-109.9990566,32 Street [tertiary]
Alberta,Saskatchewan,53.2751986,-109.9993677,41 Street [tertiary]
Alberta,Saskatchewan,53.2761060,-109.9997075,42 Street [residential]
Alberta,Saskatchewan,53.2771046,-109.9989550,43 Street [residential]
Alberta,Saskatchewan,53.2852288,-109.9984423,52 Street [secondary]
Alberta,Saskatchewan,53.2861624,-109.9989774,53 Street [residential]
Alberta,Saskatchewan,53.4243656,-110.0011551,798 [tertiary]
Alberta,Saskatchewan,53.4463269,-109.9968514,Township Road 515a [unclassified]
Alberta,Saskatchewan,53.4475955,-109.9996714,17 [primary]
Alberta,Saskatchewan,53.4494862,-109.9996802,17 [primary]
Alberta,Saskatchewan,53.3362372,-110.0006088,774 [tertiary]
Alberta,Saskatchewan,53.5638223,-109.9991290,17 [primary]
Alberta,Saskatchewan,53.5751923,-110.0006761,17 [primary]
Alberta,Saskatchewan,53.6232433,-109.9992382,797;TCT [tertiary]
Alberta,Saskatchewan,53.7168864,-109.9975238,unnamed [unclassified]
Alberta,Saskatchewan,52.6959488,-109.9979765,unnamed [unclassified]
Alberta,Saskatchewan,52.9578554,-110.0026475,Unwin Road [unclassified]
Alberta,Saskatchewan,53.5407677,-110.0025690,Township Road 530 [unclassified]
Ontario,Québec,45.5440678,-76.5294204,Chemin Front [tertiary]
Ontario,Québec,45.5461677,-76.5622099,Chemin de Sand Bay [unclassified]
Manitoba,Saskatchewan,49.7982562,-101.4374426,unnamed [track]
Manitoba,Saskatchewan,49.8277404,-101.4436468,unnamed [unclassified]
Manitoba,Saskatchewan,49.8089396,-101.4404308,unnamed [unclassified]
Manitoba,Saskatchewan,49.9750385,-101.4587195,unnamed [unclassified]
Manitoba,Saskatchewan,49.8866401,-101.4446876,unnamed [unclassified]
Manitoba,Saskatchewan,49.9899195,-101.4571822,unnamed [track]
Manitoba,Saskatchewan,49.9161507,-101.4508980,unnamed [unclassified]
Manitoba,Saskatchewan,49.9602895,-101.4583322,unnamed [unclassified]
Manitoba,Saskatchewan,49.7541622,-101.4375069,unnamed [unclassified]
Manitoba,Saskatchewan,49.9308368,-101.4506512,unnamed [unclassified]
Manitoba,Saskatchewan,49.8908517,-101.4479416,unnamed [unclassified]
Manitoba,Saskatchewan,49.8424563,-101.4441181,48 [primary]
Ontario,Québec,45.4944690,-76.0142409,Avenue des Quatre-Saisons [residential]
Ontario,Québec,45.6295188,-74.5927527,Rue Elm [residential]
Ontario,Québec,45.6346989,-74.6000532,Rue de la Montagne [residential]
Ontario,Québec,45.5413249,-76.5131783,unnamed [service]
Ontario,Québec,45.5394987,-76.5087525,unnamed [service]
Ontario,Québec,45.5300000,-76.4735361,unnamed [service]
Ontario,Québec,45.5253975,-76.4551956,Chemin de Pine Lodge [unclassified]
Ontario,Québec,45.5101664,-76.0385906,Chemin Tremblay [unclassified]
Ontario,Québec,45.8926100,-76.8898068,unnamed [track]
Ontario,Québec,45.5911059,-74.4477331,Montée Byrne [unclassified]
Ontario,Québec,45.5950473,-74.4597982,Montée Cushing [unclassified]
Ontario,Québec,45.5805809,-74.4137881,Montée Robert [unclassified]
Ontario,Québec,45.5412656,-74.4006799,Chemin Concession 1 Road [unclassified]
Ontario,Québec,46.8857646,-79.2433020,unnamed [track]
Ontario,Québec,46.8802127,-79.2353923,unnamed [track]
Ontario,Québec,46.8627486,-79.2152694,unnamed [track]
Ontario,Québec,46.8594281,-79.2100313,unnamed [track]
Ontario,Québec,45.5283452,-76.1617954,unnamed [service]
